gid,nome,tipo,fk
1,Norte,REGIÃO,
2,Sudeste,REGIÃO,
3,Nordeste,REGIÃO,
4,Centro-Oeste,REGIÃO,
5,Sul,REGIÃO,
6,Piauí,UF,3
7,Maranhão,UF,3
8,Espírito Santo,UF,2
9,Rondônia,UF,1
10,Acre,UF,1
11,Amazonas,UF,1
12,Roraima,UF,1
13,Pará,UF,1
14,Amapá,UF,1
15,Tocantins,UF,1
16,Alagoas,UF,3
17,Paraná,UF,5
18,Santa Catarina,UF,5
19,Mato Grosso do Sul,UF,4
20,Sergipe,UF,3
21,Mato Grosso,UF,4
22,Rio Grande do Sul,UF,5
23,Rio de Janeiro,UF,2
24,Minas Gerais,UF,2
25,Rio Grande do Norte,UF,3
26,Distrito Federal,UF,4
27,Paraíba,UF,3
28,Pernambuco,UF,3
29,Bahia,UF,3
30,Goiás,UF,4
31,São Paulo,UF,2
32,Ceará,UF,3
33,Acajutiba,MUNICÍPIO,29
34,Aporá,MUNICÍPIO,29
35,Campestre do Maranhão,MUNICÍPIO,7
36,Porto Murtinho,MUNICÍPIO,19
37,Pimenteiras do Oeste,MUNICÍPIO,9
38,Santa Maria de Itabira,MUNICÍPIO,24
45,Divinolândia de Minas,MUNICÍPIO,24
46,Jacinto,MUNICÍPIO,24
47,Padre Carvalho,MUNICÍPIO,24
48,Cristália,MUNICÍPIO,24
49,Felisburgo,MUNICÍPIO,24
50,Aurilândia,MUNICÍPIO,30
51,Tesouro,MUNICÍPIO,21
52,Francisco Sá,MUNICÍPIO,24
53,Rubim,MUNICÍPIO,24
54,Pavussu,MUNICÍPIO,6
55,São Francisco do Guaporé,MUNICÍPIO,9
56,Campo Belo do Sul,MUNICÍPIO,18
57,Congonhas,MUNICÍPIO,24
58,Vale do Anari,MUNICÍPIO,9
59,Adrianópolis,MUNICÍPIO,17
60,Jaguaruna,MUNICÍPIO,18
61,Ibiúna,MUNICÍPIO,31
62,Nova Brasilândia,MUNICÍPIO,21
63,Codó,MUNICÍPIO,7
64,Itinga,MUNICÍPIO,24
65,São Luís de Montes Belos,MUNICÍPIO,30
66,Moiporá,MUNICÍPIO,30
67,Palestina de Goiás,MUNICÍPIO,30
68,Curvelo,MUNICÍPIO,24
69,Campo Azul,MUNICÍPIO,24
39,Fátima,MUNICÍPIO,29
